AnimalID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171164,11.72615385,1.586013766,7.393475454,Steer,201701_HI_MD01,0.46875,0.9375,0.75,0.0625,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171166,10.99230769,1.556086887,7.064070642,Steer,201701_MI_ME01,0.625,0.75,0,0,0,0,0,0,0,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0
20171171,11.05384615,1.44825361,7.632534854,Steer,201701_MI_MD01,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0
20171173,9.78,1.097983196,8.907240147,Steer,201701_HI_ME01,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0.6875,0,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0
20171174,7.407692308,0.85235267,8.690877108,Steer,201701_MI_ME01,0,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0
20171176,9.693846154,1.020916217,9.49524162,Steer,201701_HI_MD01,0.734375,1,0,0,0,0,0,0,0,0.75,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171178,9.376923077,1.329224921,7.054429183,Steer,201701_MI_MD01,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
20171179,8.784615385,1.288772374,6.816266056,Steer,201701_MI_ME01,0.5,1,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.75,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
20171184,10.78307692,1.126525501,9.571977656,Steer,201701_HI_MD01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0
20171188,8.589230769,0.868830542,9.88596781,Steer,201701_HI_MD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171192,10.24307692,1.117107298,9.169286549,Steer,201701_HI_ME01,0.0625,0.125,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0
20171196,9.290769231,0.835648095,11.11804034,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171210,10.38,0.929887031,11.16264628,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.0625,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0,0,0
20171212,10.15230769,0.794359495,12.78049517,Steer,201701_HI_MD01,0.5,1,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.25,0
20171216,10.29846154,1.691782947,6.087342091,Steer,201701_MI_MD01,0.8125,1,0,0,0,0,0,0.75,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0
20171218,8.555384615,1.169844351,7.313267451,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171221,10.02615385,1.311820627,7.642930476,Steer,201701_MI_MD01,0.5,1,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171222,8.592307692,1.108006381,7.754745676,Steer,201701_HI_ME01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171243,10.47076923,0.886076965,11.81699745,Steer,201701_MI_MD01,0.625,1,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.25,0
20171250,9.124615385,1.199240249,7.608663394,Steer,201701_MI_MD01,0.34375,0.6875,0.75,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171255,8.981538462,1.341823612,6.693531385,Steer,201701_HI_ME01,0.5,1,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
