contig length Sample340 Sample341 Sample342 Sample343 Sample344 Sample345 Sample346 Sample347 Sample348 Sample349 Sample34 Sample353 Sample354 Sample355 Sample356 Sample357 Sample358 Sample359 Sample35
k127_235625783_1 4497 1.21999143996594e-06 3.05984870272105e-07 3.87415717307142e-07 9.66563247978997e-07 4.02574328640211e-07 7.86409566951994e-07 1.21924024888382e-06 9.4103449231005e-07 4.00808335676544e-07 1.0717241567786e-06 4.59871570543973e-06 1.23479311422704e-06 8.2106130149242e-07 1.39648659489243e-06 2.5350177145183e-06 2.35448532313074e-07 4.86663577772383e-07 4.07208126788322e-07 3.84886994382262e-06
k127_58946552_7 348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.12494208323219e-08 6.78680211313871e-08 0
k127_52402957_8 1764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85127483_2 987 1.43528404701876e-07 0 9.68539293267855e-08 7.15972776280738e-08 1.3419144288007e-07 0 2.50100563873605e-07 0 0 1.19080461864289e-07 7.24207197707044e-08 3.63174445360895e-08 7.81963144278495e-08 0 0 0 6.08329472215479e-08 0 1.64481621530881e-07
k127_104763241_2 981 0 0 0 0 0 0 0 2.04572715719576e-08 0 0 0 0 0 0 0 0 0 0 0
k127_248709493_3 2979 2.15292607052814e-07 3.7398150811035e-07 9.68539293267855e-08 2.50590471698258e-07 4.02574328640211e-07 1.09223550965555e-07 4.06413416294608e-07 2.65944530435449e-07 6.19431064227386e-07 5.95402309321443e-07 3.2589323896817e-07 1.08952333608268e-06 1.09474840198989e-06 4.65495531630809e-07 1.36025340779031e-06 7.39981101555376e-07 9.12494208323219e-07 9.84086306405112e-07 3.48701037645468e-06
k127_45863950_4 3486 2.87056809403751e-06 0 0 0 0 8.73788407724438e-08 0 2.04572715719576e-08 0 0 0 0 0 0 0 0 0 0 6.57926486123524e-08
k127_65501870_1 255 1.65057665407157e-06 6.79966378382454e-07 4.84269646633927e-07 6.08576859838628e-07 9.66178388736507e-07 6.55341305793329e-07 2.00080451098884e-06 1.08423539331375e-06 1.78541894983188e-06 1.51827588876968e-06 1.44841439541409e-06 1.30742800329922e-06 1.05565024477597e-06 2.32747765815405e-06 1.85489101062315e-06 9.41794129252297e-07 1.09499304998786e-06 6.10812190182484e-07 1.21716399932852e-06
k127_53423_1 3801 0 0 0 0 0 0 6.25251409684013e-08 0 0 0 0 0 0 0 0 0 0 0 0
k127_19683934_11 621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_111313317_1 348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.36355046161535e-08 0 3.39340105656935e-08 0
k127_124401024_8 873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_111314330_1 2376 5.38231517632034e-07 4.41978145948595e-07 3.22846431089285e-08 1.14555644204918e-06 2.41544597184127e-07 1.33252732177977e-06 3.43888275326207e-07 2.65944530435449e-07 6.19431064227386e-07 5.95402309321443e-08 4.34524318624226e-07 2.17904667216537e-07 4.69177886567097e-07 3.87912943025674e-07 1.2365940070821e-07 4.03626055393842e-07 2.43331788886192e-07 8.48350264142338e-07 3.61859567367938e-07
k127_13141580_1 1218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_157125199_8 669 0 6.79966378382454e-08 0 3.57986388140369e-08 0 2.1844710193111e-08 3.12625704842006e-08 2.04572715719576e-08 3.64371214251404e-08 0 0 3.63174445360895e-08 0 0 0 0 0 0 0
k127_55784_2 2100 0 0 0 0 0 0 3.12625704842006e-08 0 0 0 0 1.45269778144358e-07 0 0 0 6.72710092323069e-08 0 3.39340105656935e-08 0
k127_19687470_18 3144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58955482_1 312 0 2.03989913514736e-07 6.4569286217857e-08 7.15972776280738e-08 5.36765771520282e-08 0 3.12625704842006e-08 4.09145431439152e-08 7.28742428502807e-08 0 0 0 3.90981572139247e-08 0 0 0 2.73748262496966e-07 6.78680211313871e-08 0
k127_13144461_3 519 0 0 0 0 0 0 0 2.04572715719576e-08 0 2.97701154660721e-08 0 0 0 3.87912943025674e-08 6.18297003541049e-08 3.36355046161535e-08 0 0 3.28963243061762e-08
k127_130948233_2 1434 0 0 0 0 0 0 0 0 0 0 0 2.90539556288716e-07 7.81963144278495e-08 7.75825886051349e-08 6.18297003541049e-08 0 1.82498841664644e-07 0 0
k127_72042953_3 1443 0 0 0 0 5.36765771520282e-08 0 0 2.04572715719576e-08 0 1.19080461864289e-07 0 7.2634889072179e-08 0 0 0 0 0 0 2.30274270143234e-07
k127_58956687_2 2235 8.25288327035785e-07 1.35993275676491e-07 3.22846431089285e-08 1.43194555256148e-07 2.41544597184127e-07 1.09223550965555e-07 4.37675986778809e-07 1.63658172575661e-07 7.28742428502807e-07 6.54942540253587e-07 7.24207197707044e-07 3.99491889896985e-07 2.34588943283548e-07 1.16373882907702e-07 3.09148501770524e-07 0 3.34581209718513e-07 2.03604063394161e-07 4.93444864592643e-07
k127_6601311_1 1575 4.66467315281096e-07 6.79966378382454e-07 4.84269646633927e-07 1.07395916442111e-07 0 3.49515363089775e-07 0 4.09145431439152e-07 2.18622728550842e-07 1.19080461864289e-07 0 1.08952333608268e-07 5.47374200994946e-07 2.71539060117972e-07 5.25552453009891e-07 6.05439083090763e-07 6.08329472215479e-08 1.11982234866789e-06 2.6317059444941e-07
k127_111319581_2 393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_111319581_4 315 0 0 0 0 0 0 0 4.09145431439152e-08 0 0 0 0 0 0 0 0 0 3.39340105656935e-08 0
k127_6601455_1 4329 0 0 0 0 0 8.73788407724438e-08 3.12625704842006e-08 1.02286357859788e-07 7.28742428502807e-08 0 7.24207197707044e-08 2.90539556288716e-07 0 0 3.09148501770524e-08 3.36355046161535e-08 6.08329472215479e-08 0 0
k127_104774034_1 1224 7.17642023509379e-08 6.45968059463332e-07 2.58277144871428e-07 0 0 8.73788407724438e-08 2.50100563873605e-07 2.04572715719576e-07 1.45748485700561e-07 1.78620692796433e-07 1.08631079656057e-07 1.81587222680447e-07 2.34588943283548e-07 1.16373882907702e-07 1.2365940070821e-07 0 6.08329472215479e-08 3.39340105656935e-08 0
k127_104774034_2 1335 3.58821011754689e-08 3.39983189191227e-07 1.61423215544642e-07 0 2.95221174336155e-07 0 1.87575422905204e-07 1.22743629431746e-07 1.45748485700561e-07 5.95402309321443e-08 1.44841439541409e-07 3.99491889896985e-07 2.73687100497473e-07 7.75825886051349e-08 9.27445505311573e-08 3.36355046161535e-08 6.08329472215479e-08 2.37538073959855e-07 5.2634118889882e-07
